key,level,name,full_name,description,shade,parent
2255,3,Mobile Communication,User Interaction##Mobile Interaction##Mobile Communication,"Mobile Communication within the context of mobile applications refers to the methods and technologies used to enable interaction between mobile devices and other systems, such as servers, other mobile devices, or web services.","rgb(13, 125, 97)",2257
2256,3,Mobile Data Access,User Interaction##Mobile Interaction##Mobile Data Access,"Mobile Data Access refers to the methodologies and technologies that mobile applications use to retrieve, manipulate, and store data, ensuring that mobile users have timely and efficient access to the information they need.","rgb(13, 125, 97)",2257
2258,3,Mobile Presentation,User Interaction##Mobile Interaction##Mobile Presentation,Mobile Presentation refers to the design and implementation of user interfaces (UI).,"rgb(13, 125, 97)",2257
3060,3,Monitoring Alerting,Services##Application Services##Monitoring Alerting,"A Monitoring Alerting service is a system that continuously observes and tracks the performance and health of applications, providing real-time data and insights. It automatically generates alerts and notifications when predefined thresholds or anomalies are detected, enabling prompt response and resolution to potential issues.","rgb(13, 125, 97)",2259
2260,3,Network Model DB Services,Data Services##Database Services##Network Model DB Services,"It refers to the management, storage, and retrieval of data using the network data model. This model is a more flexible alternative to the hierarchical database model, allowing multiple parent-child relationships (or many-to-many relationships) among data entities.","rgb(13, 125, 97)",2227
2261,3,NoSQL Services,Data Services##Database Services##NoSQL Services,"NoSQL Services provide scalable, flexible, and high-performance database solutions designed to store and manage large volumes of structured, semi-structured, and unstructured data across distributed systems.","rgb(13, 125, 97)",2227
2263,3,RDBMS Services,Data Services##Database Services##RDBMS Services,"Relational Database Management System (RDBMS) Services provide managed, scalable, and secure environments for storing and managing data in a structured format using tables.","rgb(13, 125, 97)",2227
2264,3,Reporting Services,Services##Output Services##Reporting Services,"Reporting Services in the context of software and business intelligence (BI) refer to technologies, applications, and practices for the collection, integration, analysis, and presentation of business information.","rgb(13, 125, 97)",2262
2265,3,Rich Client Business Logic,User Interaction##Screen Interaction##Rich Client Business Logic,Rich Client Business Logic refers to the complex processing and decision-making capabilities that are embedded within the client side of an application.,"rgb(13, 125, 97)",2268
2266,3,Rich Client Presentation,User Interaction##Screen Interaction##Rich Client Presentation,Rich Client Presentation refers to the design and implementation of sophisticated and interactive user interfaces in desktop applications.,"rgb(13, 125, 97)",2268
2267,3,SAP Transaction,System Interaction##Transactional Services##SAP Transaction,"","rgb(13, 125, 97)",2273
2269,3,Script Batch Interfaces,System Interaction##Batch Services##Script Batch Interfaces,Script Batch Interfaces are tools for automating repetitive tasks across various operating systems by executing a series of predefined command-line instructions without user intervention.,"rgb(13, 125, 97)",2218
3065,3,Service Registration,Services##Application Services##Service Registration,"Service registration, as implemented by Zookeeper, is a process where distributed services can register themselves and their availability in a centralized registry, enabling other services to discover and communicate with them dynamically.","rgb(13, 125, 97)",2259
3716,3,Technical Microservice,Services##Logic Services##Technical Microservice,"A technical microservice is a microservice designed around a technical function, rather than a business function.",,2251
2272,3,Terminal Presentation,User Interaction##Screen Interaction##Terminal Presentation,Terminal Presentation refers to the design and implementation of user interfaces and interactions within terminal emulators or command-line interfaces (CLIs).,"rgb(13, 125, 97)",2268
2275,3,Web Communication,User Interaction##Web Interaction##Web Communication,"Web Communication encompasses the technologies, protocols, and standards that enable the exchange of data and interaction between web clients (such as browsers or web apps) and servers over the internet.","rgb(13, 125, 97)",2277
2276,3,Web Coordination,User Interaction##Web Interaction##Web Coordination,Web Coordination refers to the strategies and mechanisms used to manage and synchronize interactions between various components within web applications and services.,"rgb(13, 125, 97)",2277
2278,3,Web Presentation,User Interaction##Web Interaction##Web Presentation,Web Presentation refers to the layer in web development that deals with the display and interaction aspects of a web application or website from the user's perspective.,"rgb(13, 125, 97)",2277
2,4,.NET,Services##Logic Services##Business Logic##.NET,".NET is a free, cross-platform, open source developer platform for building many different types of applications. You can write .NET apps in C#, F#, or Visual Basic","rgb(148, 0, 255)",2220
56,4,.NET LINQ,Services##Logic Services##Data Access Services##.NET LINQ,.NET LINQ,"rgb(148, 0, 255)",2225
31,4,.NET System,Services##Logic Services##Business Logic##.NET System,.NET System,"rgb(148, 0, 255)",2220
55,4,.NET System Data,Services##Logic Services##Data Access Services##.NET System Data,.NET System Data,"rgb(148, 0, 255)",2225
72,4,.NET System Diagnostics,Services##Logic Services##Business Logic##.NET System Diagnostics,.NET System Diagnostics.,"rgb(148, 0, 255)",2220
52,4,.NET System HTTP,Services##Logic Services##Business Logic Communication##.NET System HTTP,.NET System HTTP,"rgb(148, 0, 255)",2221
67,4,.NET System IO,Services##Logic Services##Business Logic Communication##.NET System IO,"Contains types that allow reading and writing to files and data streams, and types that provide basic file and directory support.","rgb(148, 0, 255)",2221
60,4,.NET System Net,Services##Logic Services##Business Logic##.NET System Net,.NET System Net,"rgb(148, 0, 255)",2220
62,4,.NET System Security,Services##Logic Services##Business Logic##.NET System Security,.NET System Security,"rgb(148, 0, 255)",2220
69,4,.NET System Threading,Services##Logic Services##Business Logic##.NET System Threading,.NET System Threading,"rgb(148, 0, 255)",2220
3140,4,.NET System Web,User Interaction##Web Interaction##Web Presentation##.NET System Web,These packages contain classes and interfaces that enable browser-server communication.,"rgb(153, 41, 189)",2278
3718,4,.NET System Web HTTP,Services##Logic Services##Business Logic Communication##.NET System Web HTTP,"used for building RESTful HTTP services, providing classes like ApiController, HttpRequestMessage, and HttpResponseMessage for handling API requests and responses.","rgb(153, 41, 189)",2221
3719,4,.NET System Web MVC,User Interaction##Web Interaction##Web Presentation##.NET System Web MVC,"Provides classes for building server-side web applications, handling routing, controllers, views (Razor), and model binding in the .NET Framework.","rgb(153, 41, 189)",2278
3141,4,.NET System Web UI,User Interaction##Screen Interaction##Rich Client Presentation##.NET System Web UI,Provides classes and interfaces that enable you to create ASP.NET server controls and ASP.NET Web pages for the user interface of your ASP.NET Web applications.,"rgb(153, 41, 189)",2266
75,4,.NET System Windows,User Interaction##Web Interaction##Web Presentation##.NET System Windows,.NET System Windows,"rgb(148, 0, 255)",2278
3729,4,.NET System XML,Services##Logic Services##Business Logic##.NET System XML,Provides classes for working with XML documents,"rgb(148, 0, 255)",2220
1895,4,ADO.NET,Services##Logic Services##Data Access Services##ADO.NET,ADO.NET,"rgb(103, 48, 176)",2225
3184,4,ADODB,Services##Logic Services##Data Access Services##ADODB,Microsoft ActiveX Data Objects (ADO) DB,"rgb(153, 41, 189)",2225
604,4,AMP Tools,Services##Logic Services##Business Logic##AMP Tools,A collection of AMP tools making it easier to publish and host AMP pages.,"rgb(0, 140, 180)",2220
2965,4,AMQP for Python,System Interaction##Communication Services##Messaging Services##AMQP for Python,"AMQP (Advanced Message Queuing Protocol) is a messaging protocol used for building distributed and asynchronous systems. In Python, several libraries implement AMQP clients to connect and interact with message brokers like RabbitMQ.","rgb(255, 106, 0)",2253
206,4,APPC/MVS Utility,Services##Logic Services##Business Logic Communication##APPC/MVS Utility,APPC/MVS Utility,"rgb(13, 118, 213)",2221
438,4,AR/CTL Utility,Services##Logic Services##Business Logic##AR/CTL Utility,"Application Restart Control (AR/CTL) 


https://bmcsites.force.com/casemgmt/sc_KnowledgeArticle?sfdcid=000154241","rgb(255, 170, 0)",2220
593,4,ASM,Services##Logic Services##Business Logic##ASM,"ASM, a very small and fast Java bytecode manipulation framework","rgb(154, 36, 79)",2220
4044,4,ASN.1,Services##Logic Services##Business Logic##ASN.1,"ASN.1 (Abstract Syntax Notation One) is a standard interface description language for defining data structures used in telecommunications, cryptography, and networking.","rgb(105, 185, 247)",2220
43,4,ASP.NET,Services##Logic Services##Business Logic##ASP.NET,A framework for building web apps and services with .NET and C#.,"rgb(148, 0, 255)",2220
1899,4,ASP.NET Business Logic,User Interaction##Web Interaction##Web Coordination##ASP.NET Business Logic,ASP.NET Business Logic,"rgb(103, 48, 176)",2276
1900,4,ASP.NET Communication,User Interaction##Web Interaction##Web Communication##ASP.NET Communication,ASP.NET REST/SOAP/RPC call,"rgb(103, 48, 176)",2275
53,4,ASP.NET Core,User Interaction##Web Interaction##Web Presentation##ASP.NET Core,A framework for building web apps and services with .NET and C#.,"rgb(148, 0, 255)",2278
234,4,ASP.NET Core Authentication,Services##Logic Services##Business Logic##ASP.NET Core Authentication,A framework for building web apps and services with .NET and C#.,"rgb(148, 0, 255)",2220
236,4,ASP.NET Core HTTP,System Interaction##Communication Services##Exposed API##ASP.NET Core HTTP,A framework for building web apps and services with .NET and C#.,"rgb(148, 0, 255)",2231
237,4,ASP.NET Core MVC,System Interaction##Communication Services##Exposed API##ASP.NET Core MVC,A framework for building web apps and services with .NET and C#.,"rgb(148, 0, 255)",2231
235,4,ASP.NET Core SignalR,System Interaction##Communication Services##Messaging Services##ASP.NET Core SignalR,A framework for building web apps and services with .NET and C#.,"rgb(148, 0, 255)",2253
1901,4,ASP.NET Exposed Services,System Interaction##Communication Services##Exposed API##ASP.NET Exposed Services,ASP.NET Exposed Services,"rgb(103, 48, 176)",2231
232,4,ASP.NET MVC,System Interaction##Communication Services##Exposed API##ASP.NET MVC,ASP.NET MVC,"rgb(148, 0, 255)",2231
1903,4,ASP.NET Presentation,User Interaction##Web Interaction##Web Presentation##ASP.NET Presentation,ASP.NET Presentation,"rgb(103, 48, 176)",2278
3763,4,ASP.NET SignalR,Services##Logic Services##Business Logic Communication##ASP.NET SignalR,"Microsoft.AspNet.SignalR (Classic SignalR) is a library for ASP.NET that enables real-time, bidirectional communication between server and clients over WebSockets, long polling, or other transport protocols.","rgb(52, 153, 203)",2221
3105,4,ASP.Net Boilerplate (Abp),User Interaction##Web Interaction##Web Presentation##ASP.Net Boilerplate (Abp),"ASP.NET Boilerplate (ABP) is an open-source application framework for building web applications on the ASP.NET platform. It provides a foundation with pre-built modules, best practices, and scaffolding to streamline the development process, promote code reuse, and maintainability","rgb(97, 23, 124)",2278
1873,4,AWS API Gateway,System Interaction##Communication Services##Exposed API##AWS API Gateway,AWS API Gateway,"rgb(221, 183, 23)",2231
504,4,AWS Amplify for JS-TS,Services##Logic Services##Business Logic##AWS Amplify for JS-TS,AWS Amplify is a complete solution that lets frontend web and mobile developers easily.,"rgb(254, 199, 0)",2220
3556,4,AWS Cognito for Java,Services##Logic Services##Business Logic##AWS Cognito for Java,Develop and deploy applications with the AWS Cognito SDK for Java.,"rgb(123, 33, 159)",2220
1867,4,AWS DynamoDB,Data Services##Database Services##NoSQL Services##AWS DynamoDB,"Amazon DynamoDB is a fully managed proprietary NoSQL. AWS DynamoDB offers a fast persistent key–value datastore with built-in support for replication, autoscaling, encryption at rest, and on-demand backup among other features.","rgb(9, 130, 221)",2261
3553,4,AWS DynamoDB for Java,Services##Logic Services##Business Logic##AWS DynamoDB for Java,Develop and deploy applications with the AWS DynamoDB SDK for Java.,"rgb(0, 97, 255)",2220
3555,4,AWS Glacier for Java,Services##Logic Services##Business Logic##AWS Glacier for Java,Develop and deploy applications with the AWS Glacier SDK for Java.,"rgb(181, 26, 0)",2220
1865,4,AWS Lambda,Services##Logic Services##Business Logic##AWS Lambda,AWS Lambda,"rgb(250, 126, 20)",2220
3743,4,AWS Lambda for .NET,Services##Logic Services##Business Logic##AWS Lambda for .NET,"AWS Lambda for .NET allows running C# or other .NET Core applications in a serverless environment, automatically scaling based on the demand without managing infrastructure.","rgb(221, 149, 5)",2220
1866,4,AWS S3,Data Services##Data File Services##File Storage##AWS S3,"Amazon Web Services (AWS) S3 (Simple Storage Service) is a scalable, high-speed, web-based cloud storage service designed for online backup and archiving of data and application programs.","rgb(235, 9, 9)",2232
3554,4,AWS S3 for Java,Services##Logic Services##Business Logic##AWS S3 for Java,Develop and deploy applications with the AWS S3 SDK for Java.,"rgb(227, 36, 0)",2220
1909,4,AWS SDK Java,Services##Logic Services##Business Logic##AWS SDK Java,AWS SDK Java,"rgb(237, 183, 11)",2220
45,4,AWS SDK for .NET,Services##Logic Services##Business Logic##AWS SDK for .NET,Develop and deploy applications with the AWS SDK for .NET.,"rgb(221, 149, 5)",2220
77,4,AWS SDK for C++,Services##Logic Services##Business Logic##AWS SDK for C++,"The SDK is a modern, open-source C++ library that makes it easy to integrate your C++ application with AWS services like Amazon S3, Amazon Kinesis, and Amazon DynamoDB.","rgb(221, 149, 5)",2220
13,4,AWS SDK for JS-TS,Services##Logic Services##Business Logic##AWS SDK for JS-TS,Develop and deploy applications with the AWS SDK for Javascript and Typescript,"rgb(221, 149, 5)",2220
98,4,AWS SDK for Java,Services##Logic Services##Business Logic##AWS SDK for Java,Develop and deploy applications with the AWS SDK for Java.,"rgb(0, 0, 0)",2220
1789,4,AWS SDK for Python,Services##Logic Services##Business Logic##AWS SDK for Python,Develop and deploy applications with the AWS SDK for Python,"rgb(221, 149, 10)",2220
1871,4,AWS SNS,System Interaction##Communication Services##Messaging Services##AWS SNS,AWS SNS,"rgb(111, 42, 202)",2253
3642,4,AWS SNS for Java,System Interaction##Communication Services##Messaging Services##AWS SNS for Java,"AWS SNS (Simple Notification Service) for Java allows applications to send push notifications, SMS, emails, or messages to distributed systems using the AWS SDK for Java, supporting both topic-based publish-subscribe and direct messaging.","rgb(230, 101, 170)",2253
1872,4,AWS SQS,System Interaction##Communication Services##Messaging Services##AWS SQS,"Amazon Web Services (AWS) Simple Queue Service (SQS) is a fully managed message queuing service that enables the decoupling and scaling of microservices, distributed systems, and serverless applications.","rgb(219, 158, 5)",2253
3644,4,AWS SQS for .NET,System Interaction##Communication Services##Messaging Services##AWS SQS for .NET,"AWS SQS (Simple Queue Service) for .NET allows applications to send, receive, and manage message queues for asynchronous processing, decoupling microservices, and ensuring reliable message delivery using the AWS SDK for .NET","rgb(247, 187, 59)",2253
3643,4,AWS SQS for Java,System Interaction##Communication Services##Messaging Services##AWS SQS for Java,"AWS SQS (Simple Queue Service) for Java enables applications to send, receive, and manage message queues for decoupling microservices, handling asynchronous processing, and ensuring reliable message delivery using the AWS SDK for Java.","rgb(247, 187, 59)",2253
3095,4,Acegi Security,Services##Logic Services##Business Logic##Acegi Security,Acegi Security is a powerful and flexible security solution for Java enterprise applications built using the Spring framework.,"rgb(181, 26, 0)",2220
1910,4,ActiveMQ,System Interaction##Communication Services##Messaging Services##ActiveMQ,ActiveMQ,"rgb(208, 60, 187)",2253
3598,4,ActiveMQ Artemis Client Core,System Interaction##Communication Services##Messaging Services##ActiveMQ Artemis Client Core,,"rgb(157, 52, 52)",2253
3053,4,ActiveSOAP,Services##Logic Services##Business Logic Communication##ActiveSOAP,ActiveSOAP,"rgb(217, 80, 0)",2221
435,4,Activiti,Services##Logic Services##Business Logic##Activiti,"Activiti is the leading lightweight, java-centric open-source BPMN engine supporting real-world process automation.","rgb(102, 156, 53)",2220
2919,4,Adaptive Communication Environment,Services##Logic Services##Business Logic##Adaptive Communication Environment,An OO Network Programming Toolkit in C++,"rgb(0, 140, 180)",2220
270,4,Adobe BlazeDS,Services##Output Services##Reporting Services##Adobe BlazeDS,Adobe BlazeDS,"rgb(176, 114, 25)",2264
426,4,Adobe SDK for Java,Services##Output Services##Reporting Services##Adobe SDK for Java,Adobe SDKs for Java,"rgb(181, 26, 0)",2264
505,4,Advanced Data Grid,Services##Logic Services##Business Logic##Advanced Data Grid,The professional choice for developers building enterprise applications.,"rgb(185, 45, 93)",2220
2981,4,Airbrake for Java,Services##Application Services##Monitoring Alerting##Airbrake for Java,Frictionless error monitoring and performance insights for your entire app stack.,"rgb(213, 132, 0)",3060
2980,4,Airlift,System Interaction##Communication Services##Exposed API##Airlift,Airlift framework for building REST services.,"rgb(173, 62, 0)",2231
3026,4,Ajax Control Toolkit,User Interaction##Web Interaction##Web Communication##Ajax Control Toolkit,"The ASP.NET AJAX Control Toolkit is an open-source project built on top of the Microsoft ASP.NET AJAX framework. It is a joint effort between Microsoft and the ASP.NET AJAX community that provides a powerful infrastructure to write reusable, customizable and extensible ASP.NET AJAX extenders and controls, as well as a rich array of controls that can be used out of the box to create an interactive Web experience.","rgb(121, 26, 62)",2275
1388,4,AjaxTags,Services##Logic Services##Business Logic##AjaxTags,AjaxTags is a Java library that simplifies the integration of AJAX functionality into web applications by providing custom JSP tags,"rgb(121, 26, 62)",2220
289,4,Akka for Java,Services##Logic Services##Business Logic##Akka for Java,Akka technologies for Java,"rgb(0, 140, 180)",2220
594,4,Algolia,Services##Logic Services##Business Logic##Algolia,lgolia’s JavaScript API client lets you use Algolia’s APIs from your JavaScript application.,"rgb(0, 66, 170)",2220
423,4,AlibabaCloud for Java,Services##Logic Services##Business Logic##AlibabaCloud for Java,AlibabaCloud sdks for Java,"rgb(35, 35, 35)",2220
603,4,Amcharts,Services##Logic Services##Business Logic##Amcharts,JavaScript Charts & Maps.,"rgb(0, 140, 180)",2220
1913,4,Android Business Logic,User Interaction##Mobile Interaction##Mobile Business Logic##Android Business Logic,Android Business Logic Layer,"rgb(154, 208, 18)",2254
1914,4,Android Communication,User Interaction##Mobile Interaction##Mobile Communication##Android Communication,Android Communication,"rgb(154, 208, 18)",2255
1915,4,Android Data Access,User Interaction##Mobile Interaction##Mobile Data Access##Android Data Access,Android Data Access,"rgb(154, 208, 18)",2256
114,4,Android Mobile,Services##Logic Services##Business Logic##Android Mobile,All Android Java/Kotlin frameworks used for Mobile applications,"rgb(150, 219, 12)",2220
1917,4,Android Presentation,User Interaction##Mobile Interaction##Mobile Presentation##Android Presentation,Android Presentation,"rgb(154, 208, 18)",2258
25,4,Angular,User Interaction##Web Interaction##Web Presentation##Angular,The front-end stack is a web application,"rgb(181, 26, 0)",2278
1922,4,Angular Communication,User Interaction##Web Interaction##Web Communication##Angular Communication,Angular Communication Layer,"rgb(219, 10, 10)",2275
9,4,AngularJS,User Interaction##Web Interaction##Web Presentation##AngularJS,AngularJS - HTML enhanced for web apps!,"rgb(227, 36, 0)",2278
595,4,AntV,Services##Logic Services##Business Logic##AntV,G 一个灵活的可视化渲染引擎,"rgb(123, 33, 159)",2220
3459,4,AntiXSS,Services##Logic Services##Business Logic##AntiXSS,"AntiXSS is an encoding library which uses a safe list approach to encoding. It provides Html, XML, Url, Form, LDAP, CSS, JScript and VBScript encoding methods to allow you to avoid Cross Site Scripting attacks. This library is part of the Microsoft SDL tools.","rgb(181, 26, 0)",2220
405,4,Antlr,Services##Logic Services##Business Logic##Antlr,"ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files.","rgb(181, 26, 0)",2220
4037,4,Antlr for Python,Services##Logic Services##Business Logic##Antlr for Python,"High-performance parser generator, wide language support","rgb(9, 113, 101)",2220
3901,4,Anyio,Services##Logic Services##Business Logic Communication##Anyio,"AnyIO is a Python library that provides a unified, high-level interface for working with asynchronous I/O across multiple event loops.","rgb(42, 187, 157)",2221
117,4,Apache Abdera,Services##Logic Services##Business Logic##Apache Abdera,"The goal of the Apache Abdera project is to build a functionally-complete, high-performance implementation of the IETF Atom Syndication Format (RFC 4287) and Atom Publishing Protocol (RFC 5023) specifications.","rgb(181, 26, 0)",2220
276,4,Apache Accumulo,Services##Logic Services##Business Logic##Apache Accumulo,"Apache Accumulo® is a sorted, distributed key/value store that provides robust, scalable data storage and retrieval.","rgb(181, 26, 0)",2220
173,4,Apache ActiveMQ Artemis,System Interaction##Communication Services##Messaging Services##Apache ActiveMQ Artemis,The Next Generation Message Broker by ActiveMQ,"rgb(181, 26, 0)",2253
33,4,Apache ActiveMQ NMS,System Interaction##Communication Services##Messaging Services##Apache ActiveMQ NMS,.NET Messaging API,"rgb(148, 0, 255)",2253
119,4,Apache ActiveMQ for Java,System Interaction##Communication Services##Messaging Services##Apache ActiveMQ for Java,"Apache ActiveMQ® is the most popular open source, multi-protocol, Java-based message broker","rgb(181, 26, 0)",2253
108,4,Apache Ant,Services##Logic Services##Business Logic##Apache Ant,Apache Ant is a Java library and command-line tool whose mission is to drive processes described in build files as targets and extension points dependent upon each other.,"rgb(181, 26, 0)",2220
330,4,Apache Apex,Services##Logic Services##Business Logic##Apache Apex,Apex is a Hadoop YARN native platform that unifies stream and batch processing,"rgb(0, 199, 252)",2220
1359,4,Apache Archiva,Services##Logic Services##Business Logic##Apache Archiva,The Build Artifact Repository Manager.,"rgb(181, 26, 0)",2220
327,4,Apache Aries,Services##Logic Services##Business Logic##Apache Aries,The Aries project consists of a set of pluggable Java components enabling an enterprise OSGi application programming model,"rgb(181, 26, 0)",2220
357,4,Apache Arrow,Services##Logic Services##Business Logic##Apache Arrow,A cross-language development platform for in-memory analytics.,"rgb(68, 68, 68)",2220
4061,4,Apache Arrow for Python,Services##Logic Services##Business Logic##Apache Arrow for Python,Python library for Apache Arrow,"rgb(9, 114, 159)",2220
115,4,Apache Avalon,Services##Logic Services##Business Logic##Apache Avalon,Retired Project - Apache Avalon provided Java software for component and container programming and pioneered the use of design patterns such as Inversion of Control (IoC) and Separation of Concerns (SoC).,"rgb(181, 26, 0)",2220
273,4,Apache Avro,Services##Logic Services##Business Logic##Apache Avro,Apache Avro - a data serialization system,"rgb(0, 66, 170)",2220
